route_id,service_id,trip_id
IC4220,1142,IC422011421
IC4227,1143,IC422711431
IC4229,1144,IC422911441
IC4231,1145,IC423111451
IC4232,1146,IC423211461
IC4233,1147,IC423311471
IC4235,1148,IC423511481
IC4236,1149,IC423611491
IC4237,1150,IC423711501
IC4239,1151,IC423911511
IC4240,1152,IC424011521
IC4241,1153,IC424111531
IC4405,1154,IC440511541
IC4407,1155,IC440711551
IC4409,1156,IC440911561
IC4411,1157,IC441111571
IC4413,1158,IC441311581
IC4415,1159,IC441511591
IC4417,1160,IC441711601
IC4419,1161,IC441911611
IC4421,1162,IC442111621
IC4427,1163,IC442711631
